feature_name,importance,abs_importance
cat__seller_state_MS,0.04314022641438324,0.04314022641438324
cat__product_category_name_english_telephony,-0.03747202235199547,0.03747202235199547
num__is_weekend,-0.03731717475304509,0.03731717475304509
num__payments_count,-0.03563460924161742,0.03563460924161742
cat__product_category_name_english_baby,0.034284889251117584,0.034284889251117584
cat__seller_state_PR,0.028668962683466085,0.028668962683466085
cat__customer_state_RR,0.021672965946570796,0.021672965946570796
cat__seller_state_SC,0.02092149322912541,0.02092149322912541
cat__product_category_name_english_perfumery,0.01905761257376258,0.01905761257376258
cat__payment_type_main_unknown,0.01836545367713002,0.01836545367713002
cat__payment_type_main_debit_card,-0.012136090242930029,0.012136090242930029
num__payment_value_sum,0.010735411465003904,0.010735411465003904
num__price_sum,-0.010391766281497662,0.010391766281497662
num__payment_installments_max,0.0021209904839084464,0.0021209904839084464
num__freight_value_sum,-0.0017041018932801581,0.0017041018932801581
num__purchase_hour,9.162490458092848e-06,9.162490458092848e-06
